product,symptom,cause
NA-3000,トラブル時のチェック方など,"音声系
　前面モニタVRを上げて前面モニタSPから音が出ているか？
　　→出ていればほぼNA-3000からは出力はされているはずとのこと

　前面音量VRが０になっていないか？

　24時間なんらかのBGMが鳴っているスケジュールが入ったCFカードがあればそれと入れ替えて確認可能
　　→コンテンツ作成会社に依頼しないと作ってはもらえなさそう

　BGMが鳴っている時間帯に一度NA-3000の時間を変更して確認が現実的
　　年間でスケジュールが組まれるので、祝日とか曜日にも注意

　ダイレクト再生でもチェック可能
　
ネットワーク系
　フロントカバー内DIPSW2番ONで詳細設定確認モード
　メニューキーでネットワーク系に入れば、NA-3000に設定されているIPアドレスが確認可能。
　（DHCP設定になっていても割り当てられていればそれが表示される）
　ブラウザでログインすればスケジュール等詳細見れますがコンテンツ作成会社が管理している
　ので勝手に変更は出来ない

　IPが分かればブラウザでログインまで or pingでの応答確認でNA-3000のネットワーク系は正常

　初期IP、ID、PASS
　192.168.14.1
　NA-3000
　guest

いづれにせよコンテンツ作成会社やTOAと連携して対応していく必要があります。
"
NA-3000,基本情報,"電源表示灯
 電源を投入すると緑色に点灯
 シャットダウン操作をすると橙色

表示部
 5 分以上何も操作しないと、表示部のバックライトが消灯します。
 バックライトが消灯しているときは、一度いずれかのキーを押して点灯させてから、
 希望のキー操作をしてください。

電源OFF
　シャットダウン後、画面の表示が消えたことを確認してから、本機への電源の供給を止めてください

シャットダウン
　1 メニュー画面で上下キーを押して「6. シャットダウン」を選択する。
　2 決定キーを押す。確認画面が表示されます。
　3 決定キーを押す。シャットダウン中画面が表示され、シャットダウンを実行します。

システム停止状態（シャットダウン状態）から復帰させるとき
　メニューキーを 3 秒以上押す。　再起動します。
　再起動完了後、運用画面のスケジュール情報表示画面に移動します。

メモリーカードの取り付け・取り外し
　メモリーカードの抜き差しは、本機をシステム停止状態にし、フロントカバーを取り外してから行います。

ダイレクト再生
　1 メニュー画面で上下キーを押して「2. ダイレクト再生」を選択する。
　2 決定キーを押す。ダイレクト再生選択画面が表示されます。
　3 上下キーを押して、放送するダイレクト再生の登録名称を選択する
　4 決定キーを押す。確認画面が表示されます　「リスト**を再生 ？」表示
　5 決定キーを押す。再生中のスケジュールまたはダイレクト再生を停止して、選択したダイレクト再生を開始

ダイレクト再生を停止
　1 メニュー画面で上下キーを押して「2. ダイレクト再生」を選択する
　2 決定キーを押す。ダイレクト再生選択画面が表示され、放送中の再生リスト名が表示されます
　3 決定キーを押す。確認画面が表示されます　「リスト**を停止 ？」表示
　4 決定キーを押す。放送中のダイレクト再生を停止し、表示部の表示が運用画面「コンテンツ情報表示」に移動します

エラー確認
　1 メニュー画面で上下キーを押して「5. エラー確認」を選択する。
　2 決定キーを押す。エラー表示画面が表示されます
　3 複数のエラーがあるときは、上下キーでエラー表示を切り換える。
　4 確認が終了したら、メニューキーを押す

サンプル音源の再生
　付属のメモリーカードには、BGM のサンプル音源が 10 曲収録されています。
　本機のダイレクト再生機能を使って、これらの音源を再生・停止することができます。
　ダイレクト再生の操作で、「登録番号 99：サンプル音源」を指定してください。
　再生開始操作から停止操作まで、リピートで再生し続けます。
　サンプル音源内の曲を個別に指定して再生することはできません"
N-8640DS,メイン基板互換性,"N-8640DSのメイン基板Z3691の代替としてで登録されているZ3717（本来はN8650DS用）ですが、
以下の部品を追加注文し同時に交換することで、使用できるようになります。
Z3717のみだとコネクタの形状が合いませんので部品情報の検索の内容を変更した
ほうがいいと思います。

1234998950
1235910670
1080110520

弊社からの情報提供によりTOA部品情報検索画面で、Z3691を検索するとメモ参照できます。
Z3717を検索してもメモには何も掲載ないので注意。"
N-8616MS,通話状態に勝手になる,"状況：ご指摘症状を確認いたしました。
原因：ハンドセットのロックが不十分で、フックスイッチが上がってしまうことによるものです。
処置：ハンドセットを交換いたしました。また、マイク部にシートを貼り誤動作を防止する処置を行いました。交換後の動作点検良好です。"
N-8610RM,メンテナンスモード,"カバーダイヤルキー押しながら電源ON　30秒押したまま待つ
カバー上のLED1秒点滅になればメンテナンスモード

192.168.1.1
N-8000
guest
"
N-8540DS,ファームウェア【2.13VR_MHI】,ユリ電気商会特注分
N-8500MS,マイク音声が通話相手側で途切れる,添付ファイル参照
N-8500MS,N-8000設定ソフトウェアのデータがアップロードできない,"症状：N-8000設定ソフトウェアのデータがアップロードできない。ブラウザでの操作は問題ない。
　　　N-8000設定ソフトウェアでアップロード操作しても、機器が認識できないエラーメッセージが表示される。
原因：ファームウェアの誤作動。
処置：ファームウェアの上書きをブラウザから行ってください。"
N-8500MS,内線通話時に雑音聞こえる,"症状：A支店からB支店に内線通話時に雑音が乗る（聞こえない）。B支店からA支店への内線通話では事象発生しない。
原因：ハンドセットの接触不具合。ハンドセットカールコードの根元が切れかけ。
処置：ハンドセットユニットの交換。"
N-8050DS,音がならない,"症状：音がならない。
原因：スピーカー断線。
処置：スピーカー交換。

110013226A BST-231GL"
N-8010EX,ファームウェア復旧モード,"N-8010EXでファームウェアに障害が生じた場合に、
STATUSランプが「3回点滅-1秒空白」を繰り返し表示します。
この場合は、以下の手法でファームウェアを上書きする方法で
復旧できますので頭の片隅に入れておいてください。

1.STATUSランプが「3回点滅-1秒空白」を繰り返し表示
2.この場合、192.1678.1.1/recover-j.htmでアクセスするとファームウェア書換モードに入れます。
3.TOA商品ダウンロードサイトにファームウェアがありますので、これを選択して上書きします。

これで、「3回点滅-1秒空白」から復旧でき、正常になります。
（何度も同じ症状が頻発する場合は、根本的に製品故障です）
万一、現場で遭遇した場合、パソコンとファームウェアがあれば対処できます。"
N-8010EX,特定の条件において正常に起動できなくなる,"■不具合内容
以下の条件において、N-8000設定ソフトウェアからN-8010EXの設定を更新すると、
以降、正常に起動できなくなります。
その場合、電源を入切しても復旧できません。


・N-8010EXの本体ファームウェアがVer 1.11
・N-8000設定ソフトウェアのバージョンがVer3.00以降

なお、対象のN-8010EXのファームウェアバージョンはVer1.11のみです。
他のファームウェアバージョンは問題ありません。

■対策
ファームウェアVer.1.11のN-8010EXをご使用中の現場において
今後Ver3.00以降のN-8000設定ソフトウェアを使用して設定変更を行う場合、
必ず本体ファームウェアを最新（2013年8月現在ではVer.3.00）のものに更新して
から設定してください。"
N-8000MI,接点出力の確認方法,"N-8000設定ソフトウェアにて設定が必要です。(写真参照。)

必要機器：N-8000MI,N-8000EX(N-8010EX),N-8510MS

ワンショットメイク出力,メイク出力,ブレイク出力のやり方

・ワンショットメイク出力：【機能】＋【3】＋【0】＋【接点の操作番号】

・メイク出力：【機能】＋【3】＋【1】＋【接点の操作番号】

・ブレイク出力：【機能】＋【3】＋【2】＋【接点の操作番号】"
N-8000EX,.PI8設定ファイルがインポートできない,"過去に、例えば、[N-8000]のシステム名で設定していた場合、同じシステム名の
PI8ファイルを読み込もうとしてもはじかれます。

キャッシュを削除する必要があるので、以下対応してください。

Cドライブ　⇒　ProgramData　⇒　TOA　⇒　N-8000　⇒　N-8000
に保存されている設定フォルダを削除してください。

ProgramDataは、隠しファイルになっているので、フォルダオプションで
表示する設定にしてください。"
N-8000EX,ファームウェア復旧モード,"N-8000EXでファームウェアに障害が生じた場合に、
STATUSランプが「3回点滅-1秒空白」を繰り返し表示します。
この場合は、以下の手法でファームウェアを上書きする方法で
復旧できますので頭の片隅に入れておいてください。

1.STATUSランプが「3回点滅-1秒空白」を繰り返し表示
2.この場合、192.1678.1.1/recover-j.htmでアクセスするとファームウェア書換モードに入れます。
3.TOA商品ダウンロードサイトにファームウェアがありますので、これを選択して上書きします。

これで、「3回点滅-1秒空白」から復旧でき、正常になります。
（何度も同じ症状が頻発する場合は、根本的に製品故障です）
万一、現場で遭遇した場合、パソコンとファームウェアがあれば対処できます。"
N-8000EX,ACT/LINK点灯せず通信ができない,"イーサネットコントローラIC RTL8100CL 　部品番号1113189130  \1760
10/100BASET表面実装トランス　H1102　　 部品番号114199324X  \1530

いずれも部品在庫あります。

まず、10/100BASET表面実装トランス　H1102の断線を疑ってください。"
N-8000EX,STATUSランプ点滅,"STATUS 表示灯の状態
点灯のまま / 機器の不良です
200ms 周期点滅 / ファンを交換してください (N-8000EXのみ) 2145100290 DC ﾌｱﾝF310RF-05LB ﾊ-ﾈｽｶｺｳ
2s 周期点滅 / P.66 の「メンテナンスモード」を参照してください
200ms 周期点滅×3　→　1s消灯 / P.67 の「ファームウェア復旧モード」を参照してください

1.STATUSランプが「3回点滅-1秒空白」を繰り返し表示
2.この場合、192.168.1.1/recover-j.htmでアクセスするとファームウェア書換モードに入れます。
3.TOA商品ダウンロードサイトにファームウェアがありますので、これを選択して上書きします。

※電源ランプも同時に点滅　→　電源基板不良"
N-8000EX,電源ランプ点滅,"電源ユニット不良
1000325870
ｽｲﾂﾁﾝｸﾞﾃﾞﾝｹﾞﾝ LEA75F-48-XTGL
@13650 定価20480"
N-8000EX,複数のIP端末にデータをアップロードすると一部の端末で接続できないメッセージが表示される,"同じ機器なのにN-8000設定ソフトウェアで使用しているシステム名とブラウザで表示されるシステム名
が一致していない場合はこのメッセージが表示されます。"
N-8000EX,"N-8000ソフトウェアインストールでエラー表示
Input the server name instance","以下がインストールされていない。
Windows7ではインストール不要となっていますが、このエラーが表示される場合は
インストールを行ってください。

Microsoft SQL Server 2005 Express Edition
http://www.microsoft.com/ja-jp/download/details.aspx?id=15291

必ず解決されます。"
N-8000EX,パスワード,"デフォルトの設定は以下の通り。

ID: N-8000　　　　 （半角大文字）
パスワード：guest　（半角小文字）"
N-8000EX,「ファムウェアに問題が発生しました。当社営業所に連絡してください。」が表示された,ログを営業技術へ提出する
N-8000DI,IPインカムN-8000DIを使用したカメラ毎のアラーム入力増設について,添付ファイル参照
N-8000DI,複合基板部品番号,"N-8000DI（マニュアルなし）
複合基板（Z3764）＠28000"
MX-113,電源入らない,"ヒューズ(F1)の容量が 0.15A から 0.2A に変更になりました。

■ 理由 ：ヒューズの容量不足
■ 切替 ： 2006 年 5 月ロットより（ロット No.06E～）
■ 部品番号：115-40-251-50  0.2A"
MSD-501/701,カラーバー出力,"メニュー　トップ画面→OUTPUT TIMING→TEST PATTERN
設定条件　出力ごと設定(OUT A,B共通)

MSD-501/701内でテストパターン（カラーバー）を生成して出力します。"
MSD-501/701,映像系トラブル時の設定,"
以下の設定を確認して下さい。
デフォルト設定から変更すると改善する場合もあるようです。


8.6.3 入力イコライザ
メニュー　トップ画面→INPUT SETTING→INTPUT EQUALIZER
設定条件　入力ごと設定(HDMI入力コネクタのみ)
設定値　ON(初期値)、OFF

HDMI入力ケーブルが長い場合、信号を補正するイコライザ


8.6.4 アナログ入力の信号種別
メニュー　トップ画面→INPUT SETTING→ANALOG INPUT TYPE
設定条件　入力ごと・入力信号ごと設定(アナログ入力のみ)
設定値　AUTO(初期値)、VIDEO AUTO、RGB(アナログRGB)、VIDEO(コンポジットビデオ)、YPbPr(アナログYPbPr)、Y/C(Sビデオ)

※ビデオデッキからの信号の場合、VIDEO(コンポジットビデオ)に固定すると
映像が途切れる現象が改善した現場あり


8.6.5 入力映像信号OFFの自動検出
メニュー　トップ画面→INPUT SETTING→INPUT OFF CHECK
設定条件　入力ごと設定
設定値　ON(初期値)、OFF


8.8.1 出力イコライザ
メニュー　トップ画面→OUTPUT SETTING→OUTPUT EQUALIZER
設定条件　OUT Aのみ設定可
設定値　OFF(初期値)、LOW、MIDDLE、HIGH

HDMI出力に長いケーブルを接続した場合、減衰してしまう信号を補正するイコライザ

※以下の斡旋品で映像が映らなくなる場合に、HIGH設定で直った現場あり
HDC-TH100-C(斡旋品)ＨＤＭＩツイストペアケーブル延長用送信器
HDC-RH100-C(斡旋品)ＨＤＭＩツイストペアケーブル延長用受信器"
MP-011,内蔵スピーカーから異音する,"症状：内蔵スピーカーからジーという異音がしたり、しなかったりする。
原因：ノイズの飛び込み。
処置：MT-051トランスの追加。"
MP-011,"メイン基板交換時注意（部品：770100044400）
2010年以前分は追加部品多数必要/仕様変更により","伝票：180820075
機器：MP-011(S/No:96L7002233)
⇒基板交換時にコネクタ形状全く相違で発覚。


※必要部品配線図は右クリックフォルダ内に二枚添付有り。


尚、2010年以前の商品ですと↓こちらも必要です。 

============================================================================================== 
前回連絡した基板ユニットの変更とは別に、2010年にロータリーSWを仕様変更 
(2010090159)しています。 
この時ロータリSWの軸形状が変わったのでSW金具も変更(2010090185)していました。 

今更修理保証期間外とは言えないでしょうが、修理保証期間を超えている製品の可能性もありますね。 

必要な部品です。 
・SW金具 ：102311972B MAGIC未登録 
・SW用ナット：個別の部品登録がありません。ロータリーSW(1151311830)の付属ナット(M7)を手配するしかありません。 

================================================================================================ "
ML-301B,"部品リスト
マニュアルはなし（ML-301と同じため）","・メイン基板（7000372520）＊入手不可
・ジャック基板（7000352360）＠800
・ターミナル基板（7000332960）＠1500
・チャイム基板（7000345360）＠800
・ウエストミンスタ基板（7000345210）＠1200"
M-864D,スピーカーからピーやブツッといったノイズが発生（結構な音量で）,"メイン基板の不具合

7000664380　Ｍ８６４Ｄ　ＡＵＤＩＯ　　ＫＵ"
M-864D,ファームウェア更新注意　2015/10/9,"TOAの取扱説明書ダウンロードサイトには、「ソフトウェアはVer2.3.0（ＰＣ設定用）です。本ソフトウェアでファームウェアの更新もできます。」
との記述がありますが、機器を接続しない状態で、ソフトウェアを立ち上げても、ファームウェアのメニューはありません。
また、説明書にもファームウェア更新についての説明書きがありません。

機器を接続した状態で、ソフトウェアを立ち上げるとファームウェア更新についてのメニューが立ち上がるそうです。
しかし、事前に設定内容をバックアップしておかないと、いきなりファームウェア更新を行うと設定が初期化されるので注意が必要です。
手順としては、ソフトウェアを立ち上げ、設定をバックアップ、その後ファームウェアの書き換えになると思います。

実機がないので、検証は行っておりません。
いろいろな情報を基に、本文作成しております。空中"
M-66,主要部品,"700-03-365-00 OUTPUT ｷﾊﾞﾝﾕﾆｯﾄ 
700-03-366-10 INPUT ｷﾊﾞﾝﾕﾆｯﾄ

114015033B  PT-475A-GL（代替品目/トランス）     
115-40-078-60 ﾋｭｰｽﾞ 250V 160mA 

基板二枚しか入ってない製品です。"
M-110,オーバーホール見積（要望により無理やり作成）,"【概算見積】

55A＠3400
出張＠

1120811970（フェーダ）＠640*12＝7680
1000316050 （スイッチング電源）＠2800*1
1151453730 （電源SW）＠400*1
1000320640 （スイッチング電源）＠5200*1
※一番良く修理に使う電源です

55C＠10200
時間B*2H＠8400
出張＠

フェーダーを12個交換するので、
現場修理では対応出来ません。
基本、貸出し設置⇒引取して社内修理となります。

上記以外の部品はスイッチ等の細かな部品です。（金額も小さいです）
一応、これだけ押さえれば、
万が一、修理となってもそんなに金額誤差出ないと思われます。"
M-110,電源入らない,"LDA10F-24 ｽｲﾂﾁﾝｸﾞﾃﾞﾝｹﾞﾝの故障
部品番号：100-03-160-50  \2,800"
M-110,電源入るが音が出ない,"スイッチングレギュレータ故障/その他

■スイッチング電源　YAW1015の故障。+15Vまたは-15V電源が出なくなるもの。
部品番号：100-03-206-40  \5,200
COSEL YAW1015 GORILLA

■MONO OUTPUT PCB内 M203 NJM4556故障のため、電源が降下し
スイッチング電源　YAW1015の電圧が出力されなくなるため。
部品番号：111-06-364-20"
KZ-65DC,オーバーホール概算見積,"
【KZ-65DCのオーバーホール】

部品
・CDメカ恵設備へ出す必要あり
・カセット（100033380B)＠14000
・ボリューム基板（7000354870）＠7000
・ジャック基板（7000355040）＠4000
・パワーアンプ基板（7000355280）＠12000
・放熱シート（122051755A)＠270
・ヒューズ（1154048810）*2＠60*2
・ヒューズ（1154025950）＠30

工料
・32D＠11000

出張料＠***"
KZ-532,スタンド,スタンドはST-32。ST-33用の安全ピンは使用できません。
KZ-30DC,CDデッキ仕様,"現行のＫＺシリーズやＷＡ１７１２/１８１２ＣＤのＣＤユニットおいて
ギャップレス録音（*）されたＣＤを再生した時に曲間で音の途切れ（無音）
が発生するとの事象が報告されておりました。

また、以前に発売されたアンプでは、途切れ無く再生されたとの報告もあり
ましたが、開発にて調査の結果、ＣＤユニットの生産中止に伴い、
下記のロットから現行のＣＤユニットへ仕様変更が行われており、上記のＣＤ
を再生した場合は、曲間に無音部（約0.5秒）が挿入される仕様に変更されており
ました。

結果、ＴＯＡとしては正常な動作であると判断されましたのでご報告致します。
今後、お問い合わせの際は、正常動作である旨、ご回答をお願い致します。
　
（*）ギャップレス録音とは：
　　あるトラックの終わりと次のトラックの始まりの間で、音の途切れが無くトラ
ックが切り変わるよう録音されたもの

■対象ロット
　１．WA-1712CD →　13L87 05926 から変更　（2013年12月ロットより）
　２．WA-1812CD →　13L87 11002 から変更　（2013年12月ロットより）
　３．KZ-25     →　13J02 10397 から変更　（2013年10月ロットより）
　４．KZ-30DC   →　13J02 07778 から変更　（2013年10月ロットより）
　５．KZ-65DC   →　13J02 07989 から変更　（2013年10月ロットより）

■新ＫＺシリーズ（KZ-25A、KZ-30A、KZ-65A）について
　発売が延期となりご迷惑をお掛けしております移動用ＰＡシステム
　KZ-25A/30A/65Aについても上記と同じＣＤユニットを採用しているため、
　同様の症状が発生します。

　対応策としまして、取扱説明書に下記の文言を記載致します。

ギャップレス録音(*)されたCDを再生する場合、トラック間に音切れが発生
いたします。」
ギャップレス録音とは…あるトラックの終わりと次のトラックの始まりの間で、
音の途切れが無くトラックが切り変わるよう録音されたもの。
"
KZ-30DC,DCノイズ出る,"旧回路では、イコライザ基板IC M302の出力にDCカットのコンデンサが入っていないので、
出力ボリュームを大きくしてCDのボリュームを動かすと、コソコソノイズが入る。
（レベルメータが振れるくらい出ます）

JP328を削除して50V 1uFコンデンサを取り付けてください。"
KZ-30DC,ボリュームゼロでもノイズが出る,"ボリュームゼロでもノイズが発生
→メイン基板内、C147コンデンサの半田クラックが原因です。"
KZ-30DC,"出力小さく音歪む
出荷された代替トランスの部品違いが判明　2016/9/14","*********以下の症状となる場合は、出荷されたトランスが間違っているので再注文してください********


アウトプットトランスの特性が変化し、アイドリング電流を100mA以上に上げないとクロスオーバー歪みが生じる。
通常は、60mA程度で調整がとれる。

ローインピーダンスのみ症状発生。ハイインピーダンスでは症状確認できない。99年頃の古い製造番号に使用されている
アウトプットトランスは現在代替トランスが登録されている。しかし、この代替トランスはピン配列も特性も異なるため使用できない。
オリジナルのトランスをそのまま使用し、特性変化のためアイドリング電流を調整して出荷する必要がある。
その場合、アイドリングを調整しているので熱を持つかもしれないとコメントを入れる必要がある。"
KZ-25,旧CDデッキと新CDデッキの違い,添付ファイル参照
KZ-25,CDデッキの仕様,"現行のＫＺシリーズやＷＡ１７１２/１８１２ＣＤのＣＤユニットおいて
ギャップレス録音（*）されたＣＤを再生した時に曲間で音の途切れ（無音）
が発生するとの事象が報告されておりました。

また、以前に発売されたアンプでは、途切れ無く再生されたとの報告もあり
ましたが、開発にて調査の結果、ＣＤユニットの生産中止に伴い、
下記のロットから現行のＣＤユニットへ仕様変更が行われており、上記のＣＤ
を再生した場合は、曲間に無音部（約0.5秒）が挿入される仕様に変更されており
ました。

結果、ＴＯＡとしては正常な動作であると判断されましたのでご報告致します。
今後、お問い合わせの際は、正常動作である旨、ご回答をお願い致します。
　
（*）ギャップレス録音とは：
　　あるトラックの終わりと次のトラックの始まりの間で、音の途切れが無くトラ
ックが切り変わるよう録音されたもの

■対象ロット
　１．WA-1712CD →　13L87 05926 から変更　（2013年12月ロットより）
　２．WA-1812CD →　13L87 11002 から変更　（2013年12月ロットより）
　３．KZ-25     →　13J02 10397 から変更　（2013年10月ロットより）
　４．KZ-30DC   →　13J02 07778 から変更　（2013年10月ロットより）
　５．KZ-65DC   →　13J02 07989 から変更　（2013年10月ロットより）

■新ＫＺシリーズ（KZ-25A、KZ-30A、KZ-65A）について
　発売が延期となりご迷惑をお掛けしております移動用ＰＡシステム
　KZ-25A/30A/65Aについても上記と同じＣＤユニットを採用しているため、
　同様の症状が発生します。

　対応策としまして、取扱説明書に下記の文言を記載致します。

ギャップレス録音(*)されたCDを再生する場合、トラック間に音切れが発生
いたします。」
ギャップレス録音とは…あるトラックの終わりと次のトラックの始まりの間で、
音の途切れが無くトラックが切り変わるよう録音されたもの。
"
KZ-25,"KZ-25, KZ-25A専用CD PLAYER供給について","ＫＺ－２５、ＫＺ－２５Ａに使用されているＣＤ　ＰＬＡＹＥＲが、
仕様変更され専用のＣＤ　ＰＬＡＹＥＲとして供給いたします。

【仕様変更理由】
ＫＺ－２５、ＫＺ－２５ＡのＣＤローディングノイズを低減するため

【仕様変更内容】
ＣＤ　ＰＬＡＹＥＲの一部回路を変更しています。（変更時期ﾛｯﾄ１４Ｊ～）
その為　ＫＺ－２５、ＫＺ－２５Ａ専用のＣＤ　ＰＬＡＹＥＲになっています。
他のＫＺシリーズには使用できません。


【仕様変更部品】
・ＫＺ－２５、ＫＺ－２５Ａ
　部品番号：100-09-000-0300
　部品名　 ：ＣＤ　ＰＬＡＹＥＲ　ＥＣ－４５０ＡＴ（Ｂ）（ＫＺ２５Ａ）
　仕切り　　：￥１５，０００－

・ＫＺ－３０Ｄ、ＫＺ－３０ＤＣ、ＫＺ－３０Ａ、ＫＺ－６５ＤＣ、ＫＺ－６５Ａ
　部品番号：Z3908
　部品名　 ：ＣＤ　ＰＬＡＹＥＲ　ＥＣ－４５０ＡＴ（Ｂ）
　仕切り　　：￥１５，０００－"
KZ-25,"パチン錠
アクテックでの修理は終了しました","アクテックでの修理は終了しました。
**************************************************************






Ｑ：ＫＺ－４５Ｄなどのケースの修理先はどこですか。

Ａ：一部台湾で生産しているものもありますが、下記のところで修理が可能で
　　す。台湾からの部品が在庫切れの場合は、ここが在庫をもっているものでの
　　修理となります。

　　大阪府枚方市長尾家具町３丁目１０－１０
　　（おおさかひひらかたしながおかぐまち）
　　アクテック株式会社　　担当　大畑（おおはた）さん
　　電話　　　０７２－８５７－０８９８
　　ＦＡＸ　　０７２－８５０－１９２１
　　
　　ＴＴＳコードは”２６８０７”で入力して下さい。


注）依頼方法として
ＴＴＳで修理品を受付後分解しケースのみアクテック株式会社へ依頼してください。


・ケース一式の交換はＴＴＳで修理可能です。
　　ＫＺ－２５　キャリングケース　　　　　　：１０１－１１－０８４－８０
　　ＫＺ－３０Ｄ／３０ＤＣ　キャリングケース：１０１－１１－０８５－７０

　　　※上記ケースにはパチン錠、プラスチック足、トッテセットがついてますが
　　　　個々の部品も登録してます。


ＫＺ－２５／３０　トッテセット　　：７０２－２７－０１１－６０
（内容：取手１個，取付金具２個，ネジ４本，ワッシャ４個）

ＫＺ－３０ＤＣ　パチン錠　　　　　：７０２－１０－０２１－７０

プラスチック足　　　　　　　　　　：７０２－２５－０３１－４０

ＫＺ－２５／３０　カギ（２ヶツキ）：７０２－１０－０２０－６０

※上記部品の修理はＴＴＳではできませんのでアクテック（株）に修理依頼してください。
　　その際アクテックで部品を在庫してないので、ＴＯＡから出荷してください。
　　伝票の処理の仕方→部品売上げ：お客様
　　　　　　　　　　　部品出荷先：アクテック

注）ＴＴＳで受付後　分解しケースのみアクテック株式会社へ依頼してください。"
KZ-100WS,電源入らず（メイン基板内R120断線）,"KZ-100WSに使用していましたが、仕様変更でR120のこのヒューズ抵抗を削除し、ジャンパー線へ変更（このﾊﾟｰﾂは使用しなくなりました）
理由：ヒューズ抵抗ではラッシュ電流で溶断の可能性があり、ジャンパーに変更してもショート試験で安全に電源トランスのヒューズ抵抗を溶断することが確認"
KH1509A,"斡旋品
IDとパスワード","モニターを接続し電源を入れると、IDとパスワード入力画面が現れます。
デフォルトではキーボードで[ENTER]を2回押せば、設定画面に入れます。"
JP-0410,BUSライン波形,"条件
JP-0410で設定非常リモコン1台
実際には繋がっていない状態
レンジ　1V　200us
 
リモコン設定0台だと波形は出ない。
テスターだとDC4V程度"
JP-0410,"非常起動かけると復旧できなくなる
復旧を押しても非常の再起動が勝手にかかる","JP-0410 制御基板内ELラインのダイオード不良。
EL1の場合は、D9。

EL系統に故障がある場合、微妙にELラインの電圧が異なります。

【EC】-【EL】間の端子電圧（非常起動をかけない場合）

正常電圧：　　　　　　　　DC 23.4V
異常があるEL端子の電圧：　DC 23.7V

制御基板：N7320"
JP-0410,EB端子（接点）動作しない,"症状：非常起動をかけ放送階を選択しても、EB端子接点メイクしない。
原因：JP-0410　制御基板　Q1 2SD1622　オープンのため。"
JP-0410,JP0410ｽﾋﾟｰｶｰﾋｭｰｽﾞ抜いても音が出る,"スピーカー回線ヒューズを抜いても、回路は16Kオーム（33Kパラ）の抵抗により繋がった状態となっています。
そのため小さな音は出ます。接続されているスピーカーのインピーダンスが高い場合は、両者の差がないため
あたかも同じ位のレベルでスピーカーがなっているように聞こえますので注意してください。

大きな音を入れると、【短絡表示】が出ます。

【故障ではありません】

通常の現場では、スピーカーインピーダンスは16Kオームと比較してかなり低いので、ヒューズが切れたら
切れたことがすぐに分かります。"
JP-0410,"JP0410電源基板新旧互換
ロットにより使用されている基板が違う","電源基板N7300は、国内旧仕様(2002/10/21以前)、及び海外向けユニットです。
国内新仕様（2002/10/22以降）は、R0098になります。
※新旧の互換性はありませんので、出荷時には必ずロットを御確認下さい。

新仕様のR0098が使われている2002/10/22以降製品では、ミニ基板が追加に
なっており、電源基板上のコネクタが1箇所増えています。そのため、旧製品
に新基板を搭載しても、ミニ基板が搭載されていないため、追加となった
コネクタの接続ができません。

誤って搭載しても製品は故障しませんが、以下の症状となります。

1.　EP-0510の主電源LEDが消灯。
2.　EP-0510の書き込みができない。"
JP-039,EL起動不具合,"D15,D16
111038312X　DAP202K T146の不具合"
JP-039,JP039（通信異常アドレス1）と表示される,"JP-039　ID設定スイッチにつながるコネクタ部に半田ブリッジ
（端子台基板のID設定スイッチに接続されているCN312の半田）"
JP-039,本体（FS971）より非常起動をかけると、H階（回線２４）の選択スイッチが自動で選択されてしまう,"【状況】
本体（FS971）より非常起動をかけると、H階（回線２４）の選択スイッチが自動で選択されてしまう。
また、非常復旧をかけるが復旧せず、再度、非常起動してしまう。（CPU入り切りするが、症状かわらず）
主電源でのリセットで、復旧する。
 
【点検】
ELの電圧点検を行い、H階のEL（EL回線24）の電圧が高く他のEL回線は23.05V前後に対して、
H階のEL回線は23.43ｖでした。
また、ジャンクションの制御基板内非常起動回路を確認したところ、H階のEL回線回路にある
ダイオード（D19）が故障しておりました。（ダイオード測定　0.56ｖ⇒0.03ｖ）
 
【原因】
JP-039-20制御基板内のダイオード故障による不具合です。"
JP-034,タイマー起動しない,"症状：タイマー起動しない
原因：端子台基板内R202 68Ω断線"
JP-034,基本部品,"N2940　(複合基板 JP034 ｷﾊﾞﾝﾕﾆﾂﾄ）
114010540G  （PT-149C-GL）

※端子台は"
JP-034,"業務放送（ラック型）で放送が出来ない、誤作動を起こす
SS-014/015","●症状
チャイムやページングなど、リモートで起動が掛った場合、正常に放送されない
放送が復旧しても、プリアンプ：PP-025の電源が落ちない（薄くランプ点灯）等々
誤作動を起こす。

※SPセレクター：SS-014の動作表示ランプが点滅したり、
　複数（タイマー、本体、リモコン/予備）のランプが点灯することがある。

●原因
SS-014のセレクターSWのリークによるものです。

●処置
セレクターSW×１１個の交換
部品番号：１１５１４２３４５０　　＠８０円

または、

N2960 SS014基板ユニット @7,000
N2970 SS015基板ユニット @5,000"
JP-034,予備制御[7]効かない,"症状：予備制御7効かない
原因：D154リーク"
